STATE	c2FyYUBnbWFpbC5jb20=	0	0	15523.5	0
INVOICE	SU5WLTEwMDE=	U2FyYQ==	Qk1XIFhNIExhYmVs	2	1040.0	0.0	UGFpZA==	Q2FyZA==	MDEgSnVsIDIwMjYgMTA6MDAgQU0=	MDMgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDI=	U2FyYQ==	Qk1XIFhNIDUwZQ==	3	1290.0	0.0	UGFpZA==	Q2FyZA==	MDIgSnVsIDIwMjYgMTA6MDAgQU0=	MDUgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDM=	U2FyYQ==	Qk1XIFg3IE02MGk=	4	1560.0	0.0	UGFpZA==	QmFuayBUcmFuc2Zlcg==	MDMgSnVsIDIwMjYgMTA6MDAgQU0=	MDcgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDQ=	U2FyYQ==	Qk1XIFg2IE0gQ29tcGV0aXRpb24=	5	2350.0	155.0	T3ZlcmR1ZQ==	Q2FyZA==	MDQgSnVsIDIwMjYgMTA6MDAgQU0=	MDkgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDU=	U2FyYQ==	Qk1XIFg2IE02MGk=	6	2160.0	0.0	UGFpZA==	Q2FzaA==	MDUgSnVsIDIwMjYgMTA6MDAgQU0=	MTEgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDY=	U2FyYQ==	Qk1XIFg1IE0gQ29tcGV0aXRpb24=	7	3080.0	0.0	UGFpZA==	Q2FyZA==	MDYgSnVsIDIwMjYgMTA6MDAgQU0=	MTMgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDc=	U2FyYQ==	Qk1XIFg1IE02MGUgeERyaXZl	8	2720.0	0.0	UGFpZA==	Q2FyZA==	MDcgSnVsIDIwMjYgMTA6MDAgQU0=	MTUgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDg=	U2FyYQ==	Qk1XIFgzIE01MA==	2	520.0	0.0	UGVuZGluZw==	Q2FzaA==	MDggSnVsIDIwMjYgMTA6MDAgQU0=	MTAgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMDk=	U2FyYQ==	Qk1XIFgyIE0zNWk=	3	630.0	0.0	UGFpZA==	QmFuayBUcmFuc2Zlcg==	MDkgSnVsIDIwMjYgMTA6MDAgQU0=	MTIgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMTA=	U2FyYQ==	Qk1XIFgxIE0zNWk=	4	760.0	85.0	T3ZlcmR1ZQ==	Q2FyZA==	MDEgSnVsIDIwMjYgMTA6MDAgQU0=	MDUgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMTE=	U2FyYQ==	Qk1XIGlYIE03MA==	5	2050.0	0.0	UGFpZA==	Q2FzaA==	MDIgSnVsIDIwMjYgMTA6MDAgQU0=	MDcgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMTI=	U2FyYQ==	Qk1XIGk3IE03MCB4RHJpdmU=	6	2880.0	0.0	UGFpZA==	Q2FyZA==	MDMgSnVsIDIwMjYgMTA6MDAgQU0=	MDkgSnVsIDIwMjYgMTA6MDAgQU0=	0.0
INVOICE	SU5WLTEwMTM=	U2FyYQ==	Qk1XIE03NjBlIHhEcml2ZQ==	3	1365.0	0.0	UGFpZA==	Q2FyZA==	MDEgQXVnIDIwMjYgMDE6MjMgUE0=	MDQgQXVnIDIwMjYgMDE6MjMgUE0=	0.0
